id,commission,notes,status,currency,,,
3813202,-4.298,Commission adjustment for order 58828,APPROVED,USD,,,
3858709,-4.797,Commission adjustment for order 54828,APPROVED,USD,,,
3873133,-0.999,Commission adjustment for order 58483,APPROVED,USD,,,
3894346,-3.692,Commission adjustment for order 55007,APPROVED,USD,,,
3894346,-2.598,Commission adjustment for order 55033,APPROVED,USD,,,
3894346,-3.597,Commission adjustment for order 55036,APPROVED,USD,,,
3894346,-0.999,Commission adjustment for order 55548,APPROVED,USD,,,
3894346,-0.999,Commission adjustment for order 55717,APPROVED,USD,,,
3894346,-2.096,Commission adjustment for order 56404,APPROVED,USD,,,
3894346,-0.999,Commission adjustment for order 57493,APPROVED,USD,,,
3894346,-1.698,Commission adjustment for order 57536,APPROVED,USD,,,
3894346,-1.797,Commission adjustment for order 57676,APPROVED,USD,,,
3894346,-2.798,Commission adjustment for order 57899,APPROVED,USD,,,
3894346,-0.999,Commission adjustment for order 58155,APPROVED,USD,,,
3894346,-2.598,Commission adjustment for order 58320,APPROVED,USD,,,
3939862,-6.396,Commission adjustment for order 53955,APPROVED,USD,,,
3939862,-1.599,Commission adjustment for order 55067,APPROVED,USD,,,
3939862,-1.398,Commission adjustment for order 55105,APPROVED,USD,,,
3939862,-1.797,Commission adjustment for order 55328,APPROVED,USD,,,
3939862,-0.999,Commission adjustment for order 55352,APPROVED,USD,,,
3939862,-2.598,Commission adjustment for order 55492,APPROVED,USD,,,
3939862,-3.597,Commission adjustment for order 56074,APPROVED,USD,,,
3939862,-2.396,Commission adjustment for order 56221,APPROVED,USD,,,
3939862,-7.496,Commission adjustment for order 56448,APPROVED,USD,,,
3939862,-0.999,Commission adjustment for order 57256,APPROVED,USD,,,
3939862,-2.995,Commission adjustment for order 57638,APPROVED,USD,,,
3939862,-2.598,Commission adjustment for order 57745,APPROVED,USD,,,
3939862,-6.096,Commission adjustment for order 57894,APPROVED,USD,,,
3939862,-2.796,Commission adjustment for order 58018,APPROVED,USD,,,
3939862,-2.798,Commission adjustment for order 58693,APPROVED,USD,,,
3966302,-5.59,Commission adjustment for order 56341,APPROVED,USD,,,
3966302,-0.999,Commission adjustment for order 56535,APPROVED,USD,,,
3966302,-0.999,Commission adjustment for order 57008,APPROVED,USD,,,
3966302,-0.999,Commission adjustment for order 57051,APPROVED,USD,,,
3966302,-0.999,Commission adjustment for order 57180,APPROVED,USD,,,
3966302,-2.598,Commission adjustment for order 57603,APPROVED,USD,,,
3966302,-1.698,Commission adjustment for order 57866,APPROVED,USD,,,
4045642,-5.296,Commission adjustment for order 57322,APPROVED,USD,,,
4045642,-2.598,Commission adjustment for order 57637,APPROVED,USD,,,
4045642,-0.999,Commission adjustment for order 57841,APPROVED,USD,,,
4045642,-0.999,Commission adjustment for order 57898,APPROVED,USD,,,
4045642,-4.297,Commission adjustment for order 57923,APPROVED,USD,,,
4045642,-1.797,Commission adjustment for order 58174,APPROVED,USD,,,
4157982,-20.705,Commission adjustment for order 50768,APPROVED,USD,,,
4157982,-2.598,Commission adjustment for order 53867,APPROVED,USD,,,
4157982,-2.828,Commission adjustment for order 55399,APPROVED,USD,,,
4157982,-2.695,Commission adjustment for order 55430,APPROVED,USD,,,
4157982,-0.999,Commission adjustment for order 55474,APPROVED,USD,,,
4157982,-2.794,Commission adjustment for order 55517,APPROVED,USD,,,
4157982,-2.598,Commission adjustment for order 55609,APPROVED,USD,,,
4157982,-0.999,Commission adjustment for order 55705,APPROVED,USD,,,
4157982,-9.895,Commission adjustment for order 55958,APPROVED,USD,,,
4157982,-0.999,Commission adjustment for order 56034,APPROVED,USD,,,
4157982,-1.998,Commission adjustment for order 56309,APPROVED,USD,,,
4157982,-2.598,Commission adjustment for order 56317,APPROVED,USD,,,
4157982,-0.999,Commission adjustment for order 56962,APPROVED,USD,,,
4157982,-0.999,Commission adjustment for order 57430,APPROVED,USD,,,
4157982,-0.999,Commission adjustment for order 57579,APPROVED,USD,,,
4157982,-0.999,Commission adjustment for order 57583,APPROVED,USD,,,
4157982,-1.698,Commission adjustment for order 57650,APPROVED,USD,,,
4157982,-0.999,Commission adjustment for order 57873,APPROVED,USD,,,
4157982,-5.291,Commission adjustment for order 57953,APPROVED,USD,,,
4157982,-2.897,Commission adjustment for order 58003,APPROVED,USD,,,
4157982,-1.998,Commission adjustment for order 58106,APPROVED,USD,,,
4157982,-0.999,Commission adjustment for order 58226,APPROVED,USD,,,
4157982,-2.994,Commission adjustment for order 58353,APPROVED,USD,,,
4157982,-0.999,Commission adjustment for order 58729,APPROVED,USD,,,
4157982,-0.999,Commission adjustment for order 58780,APPROVED,USD,,,
4173793,-1.997,Commission adjustment for order 58313,APPROVED,USD,,,
4232243,-4.597,Commission adjustment for order 55339,APPROVED,USD,,,
4232243,-0.999,Commission adjustment for order 57057,APPROVED,USD,,,
4232243,-1.398,Commission adjustment for order 57391,APPROVED,USD,,,
4236147,-3.792,Commission adjustment for order 54692,APPROVED,USD,,,
4236147,-2.598,Commission adjustment for order 55280,APPROVED,USD,,,
4236147,-1.698,Commission adjustment for order 55580,APPROVED,USD,,,
4236147,-2.798,Commission adjustment for order 55905,APPROVED,USD,,,
4236147,-0.999,Commission adjustment for order 56588,APPROVED,USD,,,
4236147,-0.999,Commission adjustment for order 56873,APPROVED,USD,,,
4236147,-7.895,Commission adjustment for order 56875,APPROVED,USD,,,
4236147,-3.493,Commission adjustment for order 56898,APPROVED,USD,,,
4236147,-1.998,Commission adjustment for order 56996,APPROVED,USD,,,
4236147,-0.999,Commission adjustment for order 57195,APPROVED,USD,,,
4236147,-1.799,Commission adjustment for order 57341,APPROVED,USD,,,
4236147,-2.798,Commission adjustment for order 57556,APPROVED,USD,,,
4236147,-0.999,Commission adjustment for order 57837,APPROVED,USD,,,
4236147,-0.999,Commission adjustment for order 57839,APPROVED,USD,,,
4236147,-1.398,Commission adjustment for order 57889,APPROVED,USD,,,
4236147,-2.598,Commission adjustment for order 57891,APPROVED,USD,,,
4236147,-0.999,Commission adjustment for order 57940,APPROVED,USD,,,
4236147,-1.998,Commission adjustment for order 57982,APPROVED,USD,,,
4236147,-0.999,Commission adjustment for order 58066,APPROVED,USD,,,
4236147,-0.999,Commission adjustment for order 58177,APPROVED,USD,,,
4236147,-1.698,Commission adjustment for order 58470,APPROVED,USD,,,
4236147,-0.999,Commission adjustment for order 58593,APPROVED,USD,,,
4236147,-1.698,Commission adjustment for order 58726,APPROVED,USD,,,
4278456,-1.698,Commission adjustment for order 55643,APPROVED,USD,,,
4278456,-0.999,Commission adjustment for order 56652,APPROVED,USD,,,
4278456,-3.396,Commission adjustment for order 57186,APPROVED,USD,,,
4278456,-0.999,Commission adjustment for order 57575,APPROVED,USD,,,
4278456,-2.798,Commission adjustment for order 57705,APPROVED,USD,,,
4278456,-3.297,Commission adjustment for order 58211,APPROVED,USD,,,
4278456,-2.598,Commission adjustment for order 58585,APPROVED,USD,,,
4336645,-4.597,Commission adjustment for order 55009,APPROVED,USD,,,
4336645,-0.999,Commission adjustment for order 55361,APPROVED,USD,,,
4336645,-1.998,Commission adjustment for order 55495,APPROVED,USD,,,
4336645,-1.398,Commission adjustment for order 56442,APPROVED,USD,,,
4336645,-4.797,Commission adjustment for order 56513,APPROVED,USD,,,
4336645,-1.797,Commission adjustment for order 56719,APPROVED,USD,,,
4336645,-2.598,Commission adjustment for order 56893,APPROVED,USD,,,
4336645,-5.196,Commission adjustment for order 57243,APPROVED,USD,,,
4336645,-0.999,Commission adjustment for order 57820,APPROVED,USD,,,
4336645,-0.999,Commission adjustment for order 58441,APPROVED,USD,,,
4336645,-2.296,Commission adjustment for order 58625,APPROVED,USD,,,
